iter	Passed	Remaining
625	135779	59430
626	136026	59227
627	136275	59023
628	136524	58820
629	136738	58602
630	136974	58393
631	137223	58189
632	137466	57983
633	137739	57789
634	137985	57584
635	138240	57382
636	138473	57171
637	138702	56959
638	138947	56753
639	139193	56547
640	139413	56330
641	139619	56108
642	139831	55888
643	140079	55683
644	140307	55470
645	140492	55240
646	140745	55036
647	140985	54827
648	141201	54609
649	141468	54411
650	141720	54206
651	141953	53994
652	142174	53778
653	142437	53577
654	142693	53373
655	142954	53172
656	143191	52961
657	143377	52731
658	143561	52501
659	143730	52265
660	143889	52026
661	144048	51787
662	144191	51543
663	144329	51297
664	144420	51035
665	144518	50776
666	144618	50518
667	144740	50269
668	144839	50011
669	144935	49753
670	145033	49497
671	145133	49241
672	145226	48984
673	145321	48728
674	145414	48471
675	145496	48211
676	145589	47956
677	145684	47701
678	145770	47445
679	145861	47190
680	146133	46994
681	146358	46783
682	146609	46580
683	146836	46369
684	147075	46162
685	147315	45955
686	147560	45750
687	147799	45543
688	148013	45327
689	148282	45129
690	148539	44927
691	148825	44733
692	149095	44534
693	149332	44326
694	149568	44117
695	149840	43918
696	150072	43708
697	150329	43505
698	150582	43300
699	150830	43094
700	151064	42884
701	151298	42673
702	151576	42476
703	151810	42265
704	152025	42049
705	152291	41847
706	152537	41640
707	152771	41429
708	153003	41218
709	153241	41008
710	153471	40796
711	153712	40586
712	153917	40368
713	154142	40154
714	154349	39936
715	154607	39731
716	154857	39524
717	155105	39316
718	155340	39105
719	155564	38891
720	155804	38681
721	156008	38461
722	156254	38253
723	156496	38043
724	156733	37832
725	156968	37620
726	157200	37408
727	157439	37197
728	157693	36989
729	157911	36773
730	158171	36567
731	158422	36359
732	158668	36149
733	158908	35938
734	159157	35729
735	159415	35521
736	159628	35304
737	159834	35085
738	160083	34876
739	160315	34662
740	160515	34442
741	160639	34206
742	160731	33963
743	160826	33721
744	160930	33482
745	161008	33237
746	161091	32994
747	161187	32754
748	161281	32514
749	161367	32273
750	161449	32031
751	161543	31793
752	161638	31554
753	161737	31317
754	161835	31081
755	161933	30844
756	162034	30608
757	162131	30372
758	162229	30137
759	162324	29901
760	162421	29666
761	162520	29432
762	162616	29198
763	162709	28964
764	162812	28731
765	162911	28498
766	163011	28266
767	163119	28036
768	163220	27804
769	163314	27572
770	163410	27341
771	163504	27109
772	163598	26878
773	163691	26647
774	163786	26417
775	163882	26187
776	163967	25956
777	164038	25723
778	164126	25493
779	164215	25263
780	164303	25034
781	164374	24803
782	164467	24575
783	164566	24349
784	164663	24122
785	164763	23897
786	164860	23671
787	164953	23445
788	165055	23220
789	165194	23001
790	165264	22773
791	165336	22545
792	165411	22319
793	165482	22092
794	165551	21865
795	165620	21638
796	165689	21412
797	165765	21188
798	165840	20963
799	165915	20739
800	165994	20516
801	166071	20293
802	166139	20069
803	166213	19846
804	166286	19623
805	166359	19401
806	166428	19179
807	166496	18957
808	166572	18736
809	166650	18516
810	166725	18296
811	166795	18076
812	166863	17856
813	166931	17636
814	167006	17417
815	167080	17199
816	167150	16981
817	167220	16762
818	167293	16545
819	167370	16328
820	167445	16112
821	167516	15895
822	167582	15679
823	167654	15463
824	167726	15247
825	167800	15032
826	167870	14818
827	167940	14603
828	168014	14389
829	168086	14175
830	168156	13962
831	168221	13748
832	168285	13535
833	168361	13323
834	168434	13111
835	168507	12900
836	168578	12688
837	168655	12478
838	168724	12267
839	168792	12056
840	168867	11846
841	168943	11637
842	169011	11427
843	169081	11218
844	169149	11009
845	169227	10801
846	169300	10593
847	169370	10385
848	169438	10178
849	169508	9971
850	169579	9764
851	169654	9558
852	169716	9351
853	169778	9144
854	169850	8939
855	169926	8734
856	169995	8529
857	170068	8325
858	170146	8121
859	170214	7916
860	170282	7713
861	170356	7509
862	170432	7307
863	170500	7104
864	170573	6901
865	170649	6699
866	170720	6498
867	170787	6296
868	170858	6095
869	170930	5894
870	171008	5693
871	171079	5493
872	171152	5293
873	171224	5093
874	171306	4894
875	171374	4695
876	171450	4496
877	171531	4298
878	171613	4099
879	171692	3902
880	171769	3704
881	171839	3506
882	171967	3310
883	172041	3113
884	172113	2917
885	172188	2720
886	172257	2524
887	172328	2328
888	172401	2133
889	172471	1937
890	172537	1742
891	172603	1548
892	172670	1353
893	172747	1159
894	172818	965
895	172889	771
896	172958	578
897	173017	385
898	173088	192
899	173161	0
